"","ASV","X5227.LW.0055","X5227.LW.0056","X5227.LW.0057","X5227.LW.0058","X5227.LW.0059","X5227.LW.0060","X5227.LW.0061","X5227.LW.0062","X5227.LW.0063","X5227.LW.0064","X5227.LW.0065","X5227.LW.0066","X5227.LW.0067","X5227.LW.0068","X5227.LW.0069","X5227.LW.0070","X5227.LW.0071","X5227.LW.0072","X5227.LW.0073","X5227.LW.0074","X5227.LW.0075","X5227.LW.0076","X5227.LW.0077","X5227.LW.0078","X5227.LW.0079","X5227.LW.0080","X5227.LW.0081","X5227.LW.0082","X5227.LW.0083","X5227.LW.0084","X5227.LW.0085","X5227.LW.0086","X5227.LW.0087","X5227.LW.0088","X5227.LW.0089","X5227.LW.0090","X5227.LW.0091","X5227.LW.0092","X5227.LW.0093","X5227.LW.0094","X5227.LW.0095","X5227.LW.0096","X5227.LW.0097","X5227.LW.0098","X5227.LW.0099","X5227.LW.0100","X5227.LW.0101","X5227.LW.0102","X5227.LW.0103","X5227.LW.0104","X5227.LW.0105","X5227.LW.0106","X5227.LW.0107","X5227.LW.0108","X5527.LW.0109","X5527.LW.0110","X5527.LW.0111","X5527.LW.0112","X5527.LW.0113","X5527.LW.0114","X5527.LW.0115","X5527.LW.0116","X5527.LW.0117","X5527.LW.0118","X5527.LW.0119","X5527.LW.0120","X5527.LW.0121","X5527.LW.0122","X5527.LW.0123","X5527.LW.0124","X5527.LW.0125","X5527.LW.0126","X5527.LW.0127","X5527.LW.0128","X5527.LW.0129","X5527.LW.0130","X5527.LW.0131","X5527.LW.0132","X5527.LW.0133","X5527.LW.0134","X5527.LW.0135","X5527.LW.0136","X5527.LW.0137","X5527.LW.0138","X5527.LW.0139","X5527.LW.0140","X5527.LW.0141","X5527.LW.0142","X5527.LW.0143","X5527.LW.0144","X5527.LW.0145","X5527.LW.0146","X5527.LW.0147","X5527.LW.0148","X5527.LW.0149","X5527.LW.0150","X5527.LW.0151","X5527.LW.0152","X5527.LW.0153","X5527.LW.0154","X5527.LW.0155","X5527.LW.0156","X5527.LW.0157","X5527.LW.0158","X5527.LW.0159","X5527.LW.0160","X5527.LW.0161","X5527.LW.0162"
"1","ASV1",49286,49614,53986,55137,50141,44852,9521,20451,13112,15769,36808,15509,14926,26424,14996,16387,17728,12767,49599,60262,46641,25827,22907,25799,64637,53125,60960,62503,51703,41543,44837,39136,40093,18448,18229,30344,77281,66992,68945,106034,41511,55122,51951,15166,50038,58739,39595,38906,97064,103122,65063,10208,25071,22537,182567,147081,120814,121803,42046,89820,182792,133705,111731,107536,60802,42238,98091,84495,105632,25821,40681,34647,133453,125822,78050,170800,66758,90939,99072,104967,50145,61549,52271,54676,44205,44461,48628,19424,24677,18521,165433,128927,126728,170241,119453,104026,141654,86377,83370,63864,46320,36190,45151,53721,22385,8677,21955,25140
"2","ASV2",20614,13012,22409,12749,11441,19068,10859,3822,7594,5347,7000,4011,3611,7791,751,4386,1800,4261,30981,14671,11742,3071,5863,3090,18417,7381,8018,16472,13743,12119,24919,28381,11685,9823,5164,8055,8445,4520,2687,9363,26896,14569,11906,2214,11460,21178,22406,7949,801,390,586,1980,363,1172,974,1128,1916,2314,8772,1940,856,1888,203,6008,1740,53,2030,1215,1388,666,253,494,3003,868,243,1170,8619,9260,1962,240,3685,3699,30972,125,1719,2989,4236,631,687,638,2067,2684,212,2279,11218,10744,4198,1751,5510,9087,617,2788,6728,11792,16407,25515,9596,8047
"3","ASV3",0,0,12,0,0,0,748,4205,1554,1950,132,17706,20301,4765,15389,11355,2438,2371,0,0,2,0,3,0,11,0,11,0,487,5,11669,10930,31340,14554,7593,15369,0,0,0,0,5,29,123,4976,0,0,0,39,6136,3008,1507,7473,12562,9316,0,0,0,0,6,0,0,23,4,979,228,116,11666,19593,13130,44221,28875,14305,0,0,0,0,7,0,202,5669,356,1094,3915,4524,23549,13949,15771,38003,45794,13600,7,5,0,0,0,5,0,860,591,906,368,1009,62500,54774,61923,43606,8840,12821
"4","ASV4",0,0,0,10,4,0,2032,2619,10969,9240,70,12723,9515,890,4735,12757,12171,8642,0,0,0,0,4,0,430,354,1710,0,3470,8909,70,2753,2763,7010,22312,14826,6,0,0,0,0,0,667,2646,2946,3934,349,26087,128,110,41,8787,3991,4148,7,29,25,619,0,0,94,7829,1435,7857,36315,88665,163,3519,2167,14316,31719,36447,0,0,0,0,14,45,281,2144,1119,3642,0,41624,926,209,594,246,4523,7188,39,86,30,36,27,22,36,4309,665,1100,1583,985,716,4147,1569,7250,22320,18774
"5","ASV5",0,77,0,0,0,0,2815,9925,2276,15564,8033,516,504,601,332,2133,1933,3515,4453,0,0,19380,14378,3452,830,608,742,275,2049,6242,1737,1703,575,1311,5628,3124,0,0,0,0,0,61,1127,6614,949,2103,3750,2686,225,228,297,2651,2146,4784,0,44,0,0,211,149,129,1131,830,1666,29588,2043,10537,7232,3646,6597,9530,22437,0,0,0,76,134,47,1096,1079,1810,3483,3724,10175,17897,18957,29501,18853,15811,22519,0,50,0,0,84,2400,29687,1254,1081,2545,1117,4969,12210,7301,5704,12589,21874,25878
"6","ASV6",0,11,15299,5,0,6426,0,0,5699,37,7187,5,0,10,6803,0,0,1738,0,17,18171,0,11,2179,0,0,28912,0,0,7363,0,0,14862,0,43,6718,6,0,19116,6,0,11762,0,0,9427,0,0,2373,0,0,19930,0,0,5345,5,8,41303,84,0,22472,0,5,40245,0,40,12258,0,8,19439,0,0,1917,0,6,25407,14,0,22469,23,37,12952,0,6,3013,0,0,8652,0,0,928,0,14,38368,11,0,19482,15,152,17627,14,0,4878,0,0,7495,0,0,1754
"7","ASV7",0,10305,0,0,2551,0,0,6722,0,2507,0,0,0,8747,3,0,1484,0,0,6640,29,0,3421,0,0,11711,0,0,11398,0,0,5110,0,0,1417,0,0,13061,0,0,3526,43,21,7565,0,0,1758,0,0,18394,24,0,3980,0,20,37725,15,0,33767,0,0,32050,0,0,18430,0,0,20934,8,0,2380,6,6,40361,0,0,6964,0,9,34140,0,33,3445,0,0,10644,3,0,2349,0,0,25721,8,0,19179,28,29,21435,13,8,3493,8,0,12167,0,8,1634,0
"8","ASV8",0,0,0,0,0,0,210,5910,0,1628,53,2955,1178,0,1692,3120,2237,385,0,0,0,0,0,0,293,1230,317,4,10761,28569,40,1226,1070,2838,3775,7285,0,0,0,0,8,33,393,4204,0,1327,0,126,0,0,0,553,208,0,0,0,0,93,12,277,100,3060,1189,10765,14734,12876,125,767,1085,1630,3568,5540,0,4,0,0,0,0,10812,6392,21888,40306,0,5761,356,319,1062,469,3048,2728,0,0,0,42,0,0,81,18943,14126,35932,30034,30448,431,184,168,616,1234,1442
"9","ASV9",2467,1520,4207,2826,3422,3528,1588,5039,1687,2874,4143,1566,1871,11644,7795,4134,6004,5577,4302,2765,1138,1525,3100,2524,1026,1935,531,1442,1187,2039,2366,1788,570,680,530,721,2040,713,1446,2512,2797,2743,2455,7473,2378,5867,6402,3426,414,130,376,3968,710,410,4940,1194,3816,9994,17252,18940,18700,2198,213,741,654,32,3585,910,2971,1922,38,1441,12704,814,108,612,13567,9591,5814,10,1870,2582,1526,46,4337,7224,10646,2696,1865,1519,742,1687,179,1279,10434,6283,2333,600,1437,1455,1412,2356,697,554,1268,1899,768,1603
"10","ASV10",2612,2898,2673,3575,2626,2571,364,813,414,971,1619,768,473,1442,509,668,636,458,2575,2878,2286,1051,992,682,3410,2812,3838,3424,1757,1431,1698,1480,2167,477,850,1231,4010,4586,2826,6709,1420,1931,3324,354,2770,1701,1331,1508,5671,7765,3959,160,918,846,12951,7009,4492,3647,717,2763,12990,8583,6162,3675,1610,1646,7891,7602,5528,1403,1231,1135,7144,7002,3323,8200,2013,3537,4468,7795,1905,1869,1238,1566,2740,2690,2729,873,1197,706,10796,5262,5453,7413,3821,4254,9663,4202,3276,2557,1919,1114,2088,2743,949,518,662,903
